Email,IdEquipo1,IdEquipo2,Fecha
mgriffoenr@scienced.com,12,20,2002-02-13 08:22:13
dlilesh@google.nl,11,20,2013-04-19 10:59:06
rbrantt@ox.ac.uk,19,11,2022-06-20 21:28:32
torrb@example.com,11,18,2005-10-15 06:51:43
vforesa@washingto.com,20,18,2003-10-30 02:24:15
achalder7@vinaora.com,20,20,2002-12-11 23:50:32
dtreng@fastcompany.com,20,29,2008-12-07 02:06:02
trangellg@time.com,26,20,2014-07-27 13:34:03
sconsidines@mail.ru,11,26,2008-10-23 12:16:23
chazleton6@cdbaby.com,26,13,2014-12-28 01:58:52
singlesent5@yellow.com,19,18,2005-01-23 08:25:11
lblinte@a8.net,19,13,2003-10-23 23:47:47
cmulkerrinsc@blink.com,25,20,2012-01-26 22:44:16
dlilesh@google.nl,13,18,2013-07-03 02:39:21
vforesa@washingto.com,13,29,2013-07-03 18:19:05
sconsidines@mail.ru,18,29,2015-02-03 23:35:46
bsealsd@a8.net,29,29,2018-09-12 15:46:03
trangellg@time.com,19,11,2006-10-18 13:26:08
singlesent5@yellow.com,18,25,2001-03-12 15:32:44
rbrantt@ox.ac.uk,25,19,2012-01-06 03:48:28
achalder7@vinaora.com,29,25,2013-03-06 13:07:11
amarwick8@chron.com,20,29,2008-11-14 11:36:21
chazleton6@cdbaby.com,11,20,2019-07-01 14:11:18
lblinte@a8.net,26,13,2021-02-24 23:55:42
torrb@example.com,12,26,2007-11-04 13:29:13
bbunclarkk@army.mil,20,12,2012-12-06 05:42:18
ejacobp@bandcamp.com,13,18,2001-08-29 19:06:50
vforesa@washingto.com,18,20,2008-07-24 06:40:35
ghawkshaw0@upenn.edu,19,11,2019-02-18 12:56:29
trangellg@time.com,11,26,2015-02-01 07:15:24
