EmailUsuario,IdComp
vforesa@washingto.com,1
ejacobp@bandcamp.com,2
rbrantt@ox.ac.uk,1
hspawforthf@wsj.com,1
hbonhomei@oracle.com,1
sconsidines@mail.ru,1
bchallis3@sakura.ne.jp,1
mgriffoenr@scienced.com,1
fcalvie1@ftc.gov,2
fcalvie1@ftc.gov,1
mgriffoenr@scienced.com,3
achalder7@vinaora.com,1
vforesa@washingto.com,3
mpitchero@histats.com,1
mpitchero@histats.com,2
ghawkshaw0@upenn.edu,1
ejacobp@bandcamp.com,1
sconsidines@mail.ru,3
singlesent5@yellow.com,1
asehorschj@friendly.com,1
fcalvie1@ftc.gov,5
trangellg@time.com,1
torrb@example.com,1
achalder7@vinaora.com,2
awoodburnem@phpbb.com,1
mgriffoenr@scienced.com,6
chazleton6@cdbaby.com,1
sconsidines@mail.ru,2
lczyz4@theguardian.com,1
dtreng@fastcompany.com,1
